student_id,study_hours,attendance_percentage,class_participation,sleep_hours,previous_grade,internet_access,extra_activities,parent_education,stress_level,grade
1,10,67,1,7.3,B,No,Yes,HighSchool,4,D
2,24,56,6,7.8,A,Yes,No,HighSchool,2,C
3,22,72,1,7.5,A,Yes,Yes,Graduate,8,D
4,5,71,5,10.0,B,No,Yes,HighSchool,1,C
5,22,70,2,7.4,D,Yes,Yes,HighSchool,5,D
6,2,100,0,9.4,A,Yes,Yes,PostGraduate,3,D
7,14,80,6,3.4,C,Yes,Yes,HighSchool,1,C
8,9,79,8,8.5,C,No,No,PostGraduate,6,B
9,25,57,10,6.5,C,Yes,No,PostGraduate,7,C
10,17,54,6,6.6,C,Yes,Yes,Graduate,10,A
11,15,67,4,7.9,A,Yes,Yes,Graduate,1,B
12,29,100,1,3.0,D,No,Yes,Graduate,3,B
13,4,85,10,4.4,C,No,Yes,PostGraduate,2,C
14,6,78,3,7.7,D,No,No,HighSchool,7,C
15,26,50,0,7.6,C,Yes,No,PostGraduate,5,B
16,27,93,7,5.1,A,Yes,Yes,HighSchool,6,D
17,3,63,0,7.4,A,Yes,Yes,Graduate,8,C
18,13,100,1,7.4,D,No,No,HighSchool,10,D
19,24,82,5,8.2,B,No,No,HighSchool,4,C
20,28,71,3,8.7,B,No,Yes,HighSchool,8,C
21,25,69,8,6.0,A,No,Yes,HighSchool,2,C
22,18,81,5,7.4,C,Yes,Yes,HighSchool,5,D
23,7,98,5,3.0,A,No,No,Graduate,1,B
24,21,65,1,7.8,D,Yes,Yes,PostGraduate,5,D
25,12,64,6,4.4,B,Yes,No,HighSchool,5,C
26,12,53,4,9.4,B,Yes,No,PostGraduate,8,A
27,11,90,10,6.6,C,Yes,No,PostGraduate,4,C
28,9,50,2,7.2,C,Yes,Yes,Graduate,2,D
29,13,60,0,3.4,D,No,No,Graduate,4,D
30,15,68,6,6.8,C,No,Yes,HighSchool,2,D
31,25,93,2,6.6,B,No,No,Graduate,6,D
32,8,75,1,8.1,D,Yes,Yes,Graduate,7,C
33,0,60,3,9.5,A,Yes,Yes,PostGraduate,6,A
